Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
COHN,Cohen & Company Inc.,$20.55,1.04,5.331%,27270610.00,United States,,69076,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.7103,-0.0041,-0.574%,30954559.00,China,,159055,Health Care,Major Pharmaceuticals
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$45.50,0.40,0.887%,22022961097.00,United States,2007,119634,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$11.45,0.04,0.351%,469949312.00,United States,,1040897,Finance,Finance/Investors Services
CTEK,CynergisTek Inc. Common Stock,$1.97,-0.07,-3.431%,23877775.00,United States,2017,43782,Technology,Retail: Computer Software & Peripheral Equipment
CVM,Cel-Sci Corporation Common Stock,$8.05,-0.60,-6.936%,342358973.00,United States,,6925042,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$26.20,0.06,0.23%,25312658.00,United States,,334,Consumer Non-Durables,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$3.50,0.05,1.449%,42806005.00,United States,,94178,Capital Goods,Military/Government/Technical
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.53,-0.03,-1.172%,261873727.00,United States,1998,523830,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$162.59,13.89,9.341%,89647086.00,United States,,3513,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$30.61,0.34,1.123%,213494343.00,United States,,5987,Consumer Non-Durables,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$9.27,-0.03,-0.323%,192371105.00,United States,1988,38195,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.23,0.01,0.82%,990033680.00,Canada,,4538356,Basic Industries,Other Metals and Minerals
DPW,Ault Global Holdings Inc. Common Stock,$2.65,-0.09,-3.285%,131902526.00,United States,,2453493,Capital Goods,Industrial Machinery/Components
DSS,Document Security Systems Inc. Common Stock,$1.74,-0.04,-2.247%,115658018.00,United States,,2902794,Consumer Services,Recreational Products/Toys
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.57,-0.08,-4.848%,32780324.00,China,,72203,Consumer Non-Durables,Apparel
DXR,Daxor Corporation Common Stock,$10.6877,-0.125,-1.156%,43112867.00,United States,,9034,Health Care,Medical/Dental Instruments
EAD,Wells Fargo Income Opportunities Fund Common Shares,$8.87,0.04,0.453%,537399718.00,United States,2003,209464,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$14.71,0.05,0.341%,198577027.00,United States,1986,10520,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$26.00,0.14,0.541%,,United States,,1400,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.75,0.04,0.292%,989356280.00,United States,2002,72435,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$4.44,-0.04,-0.893%,119544252.00,United States,,27925,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$30.90,0.3295,1.078%,396738294.00,Israel,,2094,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$11.62,0.27,2.379%,100366820.00,United States,2011,30430,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMAN,eMagin Corporation Common Stock,$3.11,-0.16,-4.893%,224762583.00,United States,,796474,Capital Goods,Industrial Machinery/Components
